Stock,Last_assessment,Model_category,Target_frequency,Catch_level,Catch_target,Catch_gap,Abundance_level,Abundance_target,Abundance_gap,LH_level,LH_target,LH_gap,Comp_level,Comp_target,Comp_gap,Eco_level,Eco_target,Eco_gap
Chinook salmon - Washington Coast: Willapa Bay Fall Hatchery,2021,4,1,4,4,0,4,4,0,4,4,0,4,4,0,0,3,3
Chinook salmon - Washington Coast: Willapa Bay Fall Natural,2021,4,1,4,4,0,4,4,0,4,4,0,4,4,0,0,3,3
Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery,2021,4,1,4,4,0,3,4,1,3,4,1,3,5,2,0,4,4
Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery,2021,4,1,4,4,0,3,4,1,3,4,1,3,5,2,0,4,4
Coho salmon - Oregon Production Index Area: Lower Columbia Natural,2021,2,1,2,4,2,3,4,1,3,5,2,3,5,2,0,4,4
Coho salmon - Oregon Production Index Area: Oregon Coast Hatchery,2021,4,1,4,4,0,3,4,1,3,4,1,3,5,2,0,4,4
Coho salmon - Oregon Production Index Area: Oregon Coast Natural,2021,4,1,4,4,0,3,4,1,3,5,2,3,5,2,3,4,1
Coho salmon - Puget Sound: Hood Canal,2021,4,1,4,4,0,4,4,0,3,4,1,3,5,2,0,4,4
Coho salmon - Puget Sound: Skagit,2021,4,1,4,4,0,3,4,1,3,4,1,3,5,2,3,4,1
Coho salmon - Puget Sound: Snohomish,2021,4,1,4,4,0,3,4,1,3,4,1,3,5,2,1,4,3
Coho salmon - Puget Sound: South Puget Sound Hatchery,2021,4,1,4,4,0,3,4,1,3,4,1,3,5,2,1,4,3
Coho salmon - Puget Sound: Stillaguamish,2021,4,1,4,4,0,3,4,1,3,4,1,3,5,2,0,4,4
Coho salmon - Washington Coast: Grays Harbor,2021,4,1,4,4,0,3,4,1,3,4,1,3,4,1,3,4,1
Coho salmon - Washington Coast: Hoh,2021,3,1,4,4,0,3,4,1,3,4,1,3,4,1,3,4,1
Coho salmon - Washington Coast: Queets,2021,4,1,4,4,0,3,4,1,3,4,1,3,4,1,3,4,1
Coho salmon - Washington Coast: Quillayute Fall,2021,4,1,4,4,0,3,4,1,3,4,1,3,4,1,1,4,3
Coho salmon - Washington Coast: Quillayute Summer Hatchery,2021,4,1,4,4,0,3,4,1,3,4,1,3,4,1,1,4,3
Coho salmon - Washington Coast: Quinault Hatchery,2021,2,1,4,4,0,3,4,1,3,4,1,3,4,1,1,4,3
Coho salmon - Washington Coast: Strait of Juan de Fuca,2021,4,1,4,4,0,3,4,1,3,4,1,3,4,1,3,4,1
Coho salmon - Washington Coast: Willapa Bay Hatchery,2021,4,1,4,4,0,3,4,1,3,4,1,3,4,1,1,4,3
Coho salmon - Washington Coast: Willapa Bay Natural,2021,4,1,4,4,0,3,4,1,3,4,1,3,4,1,1,4,3
Pink salmon - Puget Sound,2021,3,1,3,3,0,2,2,0,3,3,0,3,3,0,3,3,0
Chinook salmon - California Central Valley: Sacramento River Fall,2021,3,1,4,5,1,4,5,1,1,5,4,2,5,3,0,2,2
Chinook salmon - California Central Valley: Sacramento River Spring,2021,2,1,2,5,3,3,5,2,0,4,4,2,4,2,0,2,2
Chinook salmon - California Central Valley: Sacramento River Winter,2021,4,1,4,5,1,4,5,1,3,4,1,3,4,1,0,2,2
Chinook salmon - Northern California Coast: California Coastal,2021,2,1,1,5,4,3,4,1,0,4,4,0,4,4,0,2,2
Chinook salmon - Northern California Coast: Klamath River Fall,2021,4,1,4,5,1,4,5,1,3,5,2,5,5,0,0,2,2
Chinook salmon - Northern California Coast: Klamath River Spring,2013,2,1,2,5,3,3,5,2,0,5,5,1,5,4,0,2,2
Chinook salmon - Northern California Coast: Smith River,NA,NA,1,2,5,3,3,4,1,0,0,0,1,2,1,0,2,2
Coho salmon - Oregon Production Index Area: Central California Coast,2021,2,1,1,2,1,3,3,0,0,2,2,0,2,2,0,2,2
Coho salmon - Oregon Production Index Area: Southern Oregon/Northern California Coast,2021,2,1,1,2,1,3,4,1,0,2,2,0,2,2,0,2,2
Jack mackerel - Pacific Coast,NA,NA,3,4,4,0,0,3,3,2,3,1,1,4,3,0,3,3
Krill (Euphausiacea) - Pacific Coast,NA,NA,1,2,4,2,3,3,0,1,3,2,0,3,3,0,3,3
Northern anchovy - Northern Pacific Coast,NA,NA,1,4,4,0,3,4,1,2,3,1,0,4,4,0,4,4
Northern anchovy - Southern Pacific Coast,NA,NA,1,4,4,0,3,4,1,3,3,0,3,4,1,0,4,4
Opalescent inshore squid - Pacific Coast,2006,1,1,3,4,1,0,4,4,2,5,3,0,4,4,0,4,4
Pacific chub mackerel - Pacific Coast,2019,6,2,4,4,0,3,4,1,3,5,2,3,4,1,1,4,3
Pacific sardine - Northern Subpopulation,2020,6,2,5,5,0,4,4,0,5,5,0,5,4,0,2,4,2
Albacore - North Pacific,2020,6,3,4,4,0,2,2,0,3,4,1,4,4,0,2,3,1
Bigeye tuna - Eastern Pacific,2020,6,3,5,5,0,2,5,3,2,4,2,4,3,0,2,3,1
Blue shark - North Pacific,2017,6,3,3,4,1,2,2,0,3,4,1,3,3,0,2,3,1
Pacific bluefin tuna - Pacific,2020,6,2,4,4,0,3,5,2,4,4,0,4,4,0,2,3,1
Shortfin mako - North Pacific,2018,6,3,4,4,0,2,2,0,3,4,1,3,4,1,2,3,1
Skipjack tuna - Eastern Pacific,2018,2,1,5,5,0,2,2,0,3,4,1,4,4,0,0,3,3
Striped marlin - Eastern Pacific,2010,6,1,4,4,0,2,2,0,3,4,1,3,4,1,2,3,1
Swordfish - Eastern Pacific,2014,3,3,4,4,0,2,2,0,3,4,1,3,4,1,0,3,3
Yellowfin tuna - Eastern Pacific,2020,6,2,4,4,0,2,5,3,3,4,1,3,4,1,2,3,1
American Samoa Bottomfish Multi-species Complex,2019,3,1,5,5,0,2,5,3,1,5,4,0,5,5,2,3,1
Crimson jobfish - Main Hawaiian Islands ,2018,3,2,5,5,0,2,5,3,1,5,4,0,5,5,1,3,2
Green jobfish - Main Hawaiian Islands,2020,5,3,3,5,2,2,5,3,2,5,3,3,5,2,2,3,1
180 Fathom Bank Precious Coral Complex,NA,NA,10,0,2,2,0,1,1,1,2,1,0,0,0,0,0,0
Au'Au Bed Black Coral Complex,NA,NA,10,0,5,5,0,1,1,1,2,1,0,0,0,0,0,0
Brooks Bank Precious Coral Complex,NA,NA,10,0,2,2,0,1,1,1,2,1,0,0,0,0,0,0
Deepwater shrimps (Heterocarpus spp.) - Main Hawaiian Islands,NA,NA,2,0,5,5,0,1,1,1,2,1,0,0,0,0,0,0
Hancock Seamount Groundfish Complex,NA,NA,10,0,2,2,0,1,1,1,2,1,0,0,0,0,0,0
Hawaiian Archipelago Exploratory Area Precious Coral Complex,NA,NA,10,0,2,2,0,1,1,1,2,1,0,0,0,0,0,0
Kaena Point Bed Precious Coral Complex,NA,NA,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Keahole Bed Precious Coral Complex,NA,NA,10,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex,2021,3,2,3,5,2,2,5,3,1,5,4,0,5,5,2,3,1
Makapu'u Bed Precious Corals Multi-species Complex,NA,NA,10,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2
Northwestern Hawaiian Islands Bottomfish Multi-species Complex,NA,NA,2,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2
Northwestern Hawaiian Islands Crustacean Complex,NA,NA,3,0,0,0,0,0,0,1,2,1,0,0,0,0,2,2
Spanner crab - Main Hawaiian Islands,2019,3,3,3,5,2,2,4,2,2,3,1,0,3,3,2,3,1
Westpac Bed Refugium - Precious Corals Complex,NA,NA,10,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
Guam Bottomfish Multi-species Complex,2019,3,1,5,5,0,2,5,3,1,5,4,0,5,5,2,3,1
Northern Mariana Islands Bottomfish Multi-species Complex,2019,3,1,5,5,0,2,5,3,1,5,4,0,5,5,2,3,1
Pacific Remote Island Areas Black Precious Coral Complex,NA,NA,10,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2
Pacific Remote Island Areas Bottomfish Complex,NA,NA,2,0,0,0,0,0,0,1,2,1,0,0,0,0,2,2
Pacific Remote Island Areas Coral Reef Ecosystem Multi-species Complex,NA,NA,10,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2
Pacific Remote Island Areas Crustacean Complex,NA,NA,3,0,0,0,0,0,0,1,2,1,0,0,0,0,2,2
Pacific Remote Island Areas Exploratory Area Precious Coral Complex,NA,NA,10,0,0,0,0,0,0,1,2,1,0,0,0,0,2,2
Albacore - South Pacific,2015,6,3,5,5,0,2,2,0,4,4,0,4,4,0,0,3,3
Black marlin - Pacific,NA,NA,1,1,3,2,1,2,1,2,2,0,1,1,0,2,2,0
Blue marlin - Pacific,2013,6,2,4,5,1,2,2,0,3,4,1,3,4,1,2,2,0
Kawakawa - Pacific,NA,NA,1,1,4,3,1,2,1,1,1,0,0,0,0,1,1,0
Longfin mako - North Pacific,NA,NA,3,1,4,3,1,2,1,1,1,0,1,1,0,1,1,0
Oceanic whitetip shark - Western and Central Pacific,2019,6,3,2,5,3,1,2,1,3,4,1,3,4,1,2,2,0
Opah - Pacific,NA,NA,1,1,5,4,1,2,1,1,3,2,1,3,2,0,2,2
Pacific Other Tuna Relatives Complex,NA,NA,1,1,4,3,1,1,0,2,2,0,2,2,0,1,1,0
Pomfrets (Bramidae) - Pacific,NA,NA,1,1,5,4,1,2,1,1,3,2,1,3,2,0,1,1
Sailfish - Pacific,NA,NA,1,3,4,1,2,2,0,2,3,1,2,3,1,1,2,1
Salmon shark - North Pacific,NA,NA,3,4,4,0,1,2,1,2,3,1,2,3,1,1,2,1
Shortbill spearfish - Pacific,NA,NA,1,3,4,1,2,2,0,2,3,1,2,3,1,1,2,1
Silky shark - Western and Central Pacific,2018,6,3,4,5,1,2,2,0,3,3,0,3,3,0,2,2,0
Snake mackerels (Gempylidae) - Pacific,NA,NA,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
Wahoo - Pacific,NA,NA,1,0,5,5,0,2,2,1,3,2,0,3,3,0,2,2
Western Pacific Squid Complex,NA,NA,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2
Bigeye thresher - Pacific,2017,1,4,5,5,0,2,2,0,3,3,0,2,2,0,0,1,1
Bigeye tuna - Western and Central Pacific,2020,6,3,4,5,1,2,3,1,3,4,1,3,4,1,2,3,1
Dolphinfish - Pacific,NA,NA,1,1,5,4,1,2,1,2,3,1,2,4,2,1,3,2
Pelagic thresher - North Pacific,NA,NA,3,0,4,4,0,2,2,1,1,0,0,2,2,0,0,0
Skipjack tuna - Western and Central Pacific,2019,5,1,4,5,1,2,2,0,3,4,1,3,4,1,1,3,2
Striped marlin - Western and Central North Pacific,2019,5,1,4,5,1,2,2,0,3,4,1,3,4,1,2,3,1
Swordfish - Western and Central North Pacific,2018,6,3,4,5,1,2,2,0,4,4,0,4,4,0,2,3,1
Thresher shark - North Pacific,2018,6,3,4,5,1,2,2,0,3,3,0,4,4,0,2,2,0
Yellowfin tuna - Western and Central Pacific,2020,5,2,4,5,1,2,2,0,3,4,1,4,4,0,2,3,1
